Takin' Care of Business|Bachman-Turner Overdrive|E Standard|E Standard|E Standard
You Ain't Seen Nothing Yet|Bachman-Turner Overdrive|E Standard|E Standard|E Standard
Let It Ride|Bachman-Turner Overdrive|E Standard|E Standard|E Standard
Baby Blue|Badfinger|E Standard|E Standard|E Standard
Gratitude|Beastie Boys|E Standard|E Standard|E Standard
In A Big Country|Big Country|E Standard|E Standard|E Standard
Only the Good Die Young|Billy Joel|E Standard|E Standard|E Standard
Strategy and Spying|Billy Martin|E Standard|E Standard|E Standard
Lonely Is The Night|Billy Squier|E Standard|E Standard|E Standard
Stay Together For The Kids|blink-182|E Standard|E Standard|E Standard
Stir It Up|Bob Marley & The Wailers|E Standard|E Standard|E Standard
Whiskey Lullaby|Brad Paisley Feat. Alison Krauss|E Standard|Drop D|E Standard
Mud on the Tires|Brad Paisley|E Standard|E Standard (Capo Required)|E Standard
Ticks|Brad Paisley|E Standard|E Standard|E Standard
Rockin' Around the Christmas Tree|Brenda Lee|E Standard|E Standard|E Standard
Assassin's Creed IV Black Flag Main Theme|Brian Tyler|E Standard|E Standard|E Standard
Ever Fallen in Love (With Someone You Shouldn't've)|Buzzcocks|E Standard|E Standard|E Standard
Johnny B. Goode|Chuck Berry|E Standard|E Standard|E Standard
School Day (Ring Ring Goes The Bell)|Chuck Berry|E Standard|E Standard|E Standard
You Never Can Tell|Chuck Berry|E Standard|E Standard|E Standard
Run, Rudolph, Run|Chuck Berry|E Standard|E Standard|E Standard
Paradise|Coldplay|E Standard|E Standard|E Standard
Down Under (2012)|Colin Hay of Men At Work|E Standard|E Standard|E Standard
Transilvanian Hunger|Darkthrone|E Standard|E Standard|E Standard
Changes|David Bowie|E Standard|E Standard|E Standard
Breakfast At Tiffany's|Deep Blue Something|E Standard|E Standard|E Standard
Hush|Deep Purple|E Standard|E Standard|E Standard
Through The Fire and Flames|DragonForce|E Standard|E Standard|E Standard
Johnny, I Hardly Knew Ya|Dropkick Murphys|E Standard|E Standard|E Standard
Rebel Rouser|Duane Eddy|E Standard|E Standard|E Standard
Let's Groove|Earth, Wind & Fire|E Standard|E Standard|E Standard
Ex's & Oh's|Elle King|E Standard|E Standard|E Standard
Saturday Night's Alright (For Fighting)|Elton John|E Standard|E Standard|E Standard
Blue Christmas|Elvis Presley|E Standard|E Standard|E Standard
The Bleeding|Five Finger Death Punch|E Standard|Custom Tuning (B Standard)|Drop D
Rudolph the Red-Nosed Reindeer|Gene Autry|E Standard|E Standard|E Standard
Who Do You Love?|George Thorogood|E Standard|E Standard|E Standard
Keep Your Hands to Yourself|Georgia Satellites|E Standard|E Standard|E Standard
Radar Love|Golden Earring|E Standard|E Standard|E Standard
We're An American Band|Grand Funk Railroad|E Standard|E Standard|E Standard
Touch Of Grey|Grateful Dead|E Standard|E Standard|E Standard
Boulevard Of Broken Dreams|Green Day|E Standard|E Standard|E Standard
Holiday|Green Day|E Standard|E Standard|E Standard
Jesus of Suburbia|Green Day|E Standard|Eb Standard|E Standard
Know Your Enemy|Green Day|E Standard|E Standard|E Standard
Black Smoke Rising|Greta Van Fleet|E Standard|E Standard|E Standard
Highway Tune|Greta Van Fleet|E Standard|E Standard|E Standard
Safari Song|Greta Van Fleet|E Standard|E Standard|E Standard
All the Rage Back Home|Interpol|E Standard|E Standard|E Standard
Evil|Interpol|E Standard|E Standard|Drop D
Obstacle 1|Interpol|E Standard|E Standard|Drop D
PDA|Interpol|E Standard|E Standard|Drop D
Ezio's Family|Jesper Kyd|E Standard|Drop D|Drop D
Aqualung|Jethro Tull|E Standard|E Standard (Capo Required)|E Standard
Crimson & Clover|Joan Jett & the Blackhearts|E Standard|E Standard|E Standard
I Hate Myself For Loving You|Joan Jett & the Blackhearts|E Standard|E Standard|E Standard
Bad Reputation|Joan Jett|E Standard|E Standard|E Standard
Summer Song|Joe Satriani|E Standard|E Standard|E Standard
One Bourbon, One Scotch, One Beer|John Lee Hooker|E Standard|E Standard|E Standard
Jackson|Johnny Cash & June Carter|E Standard|E Standard|E Standard
Folsom Prison Blues|Johnny Cash|E Standard|E Standard|E Standard
Hey Porter|Johnny Cash|E Standard|E Standard|E Standard
Big River|Johnny Cash|E Standard|E Standard (Capo Required)|E Standard
Get Rhythm|Johnny Cash|E Standard|E Standard (Capo Required)|E Standard
I Walk The Line|Johnny Cash|E Standard|E Standard (Capo Required)|E Standard
Cry! Cry! Cry!|Johnny Cash|E Standard|E Standard|E Standard
Ring Of Fire|Johnny Cash|E Standard|E Standard|E Standard
Disorder|Joy Division|E Standard|E Standard|E Standard
Love Will Tear Us Apart|Joy Division|E Standard|E Standard|E Standard
Transmission|Joy Division|E Standard|E Standard|E Standard
I Predict A Riot|Kaiser Chiefs|E Standard|E Standard|E Standard
Never Miss a Beat|Kaiser Chiefs|E Standard|E Standard|E Standard
Ruby|Kaiser Chiefs|E Standard|E Standard|E Standard
My Life Would Suck Without You|Kelly Clarkson|E Standard|Capo Required (E Standard)|E Standard
Since U Been Gone|Kelly Clarkson|E Standard|E Standard|E Standard
Black Horse and the Cherry Tree|KT Tunstall|E Standard|X|E Standard
Other Side of the World|KT Tunstall|E Standard|E Standard|E Standard
Suddenly I See|KT Tunstall|E Standard|E Standard|E Standard
Bad Romance|Lady Gaga|E Standard|E Standard|E Standard
Paparazzi|Lady Gaga|E Standard|E Standard|E Standard
Poker Face|Lady Gaga|E Standard|E Standard|E Standard
Yo' And I|Lady Gaga|E Standard|E Standard|Drop D
Dashboard|Modest Mouse|E Standard|E Standard|E Standard
The Cave|Mumford & Sons|E Standard|Open D|E Standard
You Get What You Give|New Radicals|E Standard|E Standard|E Standard
Feeling Good|Nina Simone|E Standard|E Standard|E Standard
Bob|NOFX|E Standard|E Standard|E Standard
Seeing Double At the Triple Rock|NOFX|E Standard|E Standard|E Standard
Stickin' In My Eye|NOFX|E Standard|E Standard|E Standard
Linoleum|NOFX|E Standard|E Standard|E Standard
Come Away with Me|Norah Jones|E Standard|E Standard|E Standard
This Love|Pantera|E Standard|E Standard|E Standard
Ignorance|Paramore|E Standard|E Standard|D Standard
Rose-Colored Boy|Paramore|E Standard|E Standard|E Standard
Brick by Boring Brick|Paramore|E Standard|E Standard|C# Standard
The Only Exception|Paramore|E Standard|Custom Tuning (EADGBD#)|E Standard
Blood Dragon Theme (Far Cry 3: Blood Dragon)|Power Glove|E Standard|E Standard|E Standard
Amie|Pure Prairie League|E Standard|E Standard|E Standard
Hammer to Fall|Queen|E Standard|E Standard|E Standard
I Want to Break Free|Queen|E Standard|E Standard|E Standard
Somebody to Love|Queen|E Standard|E Standard (Capo Required)|E Standard
Don't Stop Me Now|Queen|E Standard|E Standard|E Standard
Love of My Life|Queen|E Standard|E Standard|E Standard
Tie Your Mother Down|Queen|E Standard|E Standard|E Standard
We Will Rock You|Queen|E Standard|E Standard|E Standard
Street Spirit (Fade Out)|Radiohead|E Standard|E Standard (Capo Required)|E Standard
There There|Radiohead|E Standard|Custom Tuning (DBDGBE)|E Standard
It's Tricky|Run-D.M.C.|E Standard|D Standard|E Standard
King of Rock|Run-D.M.C.|E Standard|E Standard|E Standard
Rock Box|Run-D.M.C.|E Standard|E Standard|E Standard
Send Me On My Way|Rusted Root|E Standard|E Standard|E Standard
My Heroine|Silverstein|E Standard|E Standard|E Standard
Smile in Your Sleep|Silverstein|E Standard|E Standard|E Standard
Runaway Train|Soul Asylum|E Standard|E Standard|E Standard
In The Meantime|Spacehog|E Standard|E Standard|E Standard
Maybe Tomorrow|Stereophonics|E Standard|E Standard|E Standard
Jungle Love|Steve Miller Band|E Standard|Open A|E Standard
Fly Like an Eagle|Steve Miller Band|E Standard|E Standard|E Standard
Rock'n Me|Steve Miller Band|E Standard|E Standard|E Standard
Take the Money and Run|Steve Miller Band|E Standard|E Standard|E Standard
Trippin' on a Hole in a Paper Heart|Stone Temple Pilots|E Standard|E Standard|E Standard
Too Much Time On My Hands|Styx|E Standard|E Standard|E Standard
Souls of Black|Testament|E Standard|E Standard|E Standard
Surfin' Safari|The Beach Boys|E Standard|E Standard|E Standard
Erase/Rewind|The Cardigans|E Standard|E Standard|E Standard
Lovefool|The Cardigans|E Standard|E Standard|E Standard
My Favourite Game|The Cardigans|E Standard|E Standard|E Standard
Cissy Strut|The Meters|E Standard|X|E Standard
Your Love|The Outfield|E Standard|E Standard|E Standard
Green Grass & High Tides|The Outlaws|E Standard|E Standard|E Standard
Back on the Chain Gang|The Pretenders|E Standard|E Standard|E Standard
Brass In Pocket|The Pretenders|E Standard|E Standard|Drop D
Don't Get Me Wrong|The Pretenders|E Standard|E Standard|E Standard
I'll Stand By You|The Pretenders|E Standard|E Standard|E Standard
I'm Gonna Be (500 Miles)|The Proclaimers|E Standard|E Standard|E Standard
Gimme Shelter|The Rolling Stones|E Standard|Open E|E Standard
Jumpin' Jack Flash|The Rolling Stones|E Standard|E Standard|E Standard
Sympathy for the Devil|The Rolling Stones|E Standard|E Standard|E Standard
Apache|The Shadows|E Standard|E Standard|E Standard
Get Together|The Youngbloods|E Standard|E Standard (Capo Required)|E Standard
Whiskey in the Jar|Thin Lizzy|E Standard|E Standard|E Standard
A Mad Russian's Christmas|Trans-Siberian Orchestra|E Standard|E Standard|E Standard
Christmas Canon Rock|Trans-Siberian Orchestra|E Standard|E Standard|E Standard
Christmas Eve / Sarajevo 12/24|Trans-Siberian Orchestra|E Standard|E Standard|E Standard
O Come All Ye Faithful / O Holy Night|Trans-Siberian Orchestra|E Standard|E Standard|E Standard
Wizards in Winter|Trans-Siberian Orchestra|E Standard|E Standard|Drop D
What You Know|Two Door Cinema Club|E Standard|Capo Required (E Standard)|E Standard
Bad|U2|E Standard|X|E Standard
Volcano Girls|Veruca Salt|E Standard|E Standard|E Standard
West Coast Blues|Wes Montgomery|E Standard|E Standard|E Standard
Teenage Dirtbag|Wheatus|E Standard|X|E Standard
Back Door Man|Willie Dixon|E Standard|E Standard|E Standard
Kryptonite|3 Doors Down|E Standard|E Standard|E Standard
Away from the Sun|3 Doors Down|E Standard|E Standard|E Standard
It's Not My Time|3 Doors Down|E Standard|E Standard|E Standard
When I'm Gone|3 Doors Down|E Standard|E Standard|E Standard
Loser|3 Doors Down|E Standard|E Standard|E Standard
Let Me Go|3 Doors Down|E Standard|E Standard|E Standard
Be Like That|3 Doors Down|E Standard|E Standard|E Standard
Punishment|9mm Parabellum Bullet|E Standard|E Standard|Drop D
Hold On Loosely|38 Special|E Standard|E Standard|E Standard
Caught Up In You|38 Special|E Standard|E Standard|E Standard
Rockin' Into The Night|38 Special|E Standard|E Standard|E Standard
All Mixed Up|311|E Standard|E Standard|E Standard
Beautiful Disaster|311|E Standard|E Standard|E Standard
Amber|311|E Standard|E Standard|Drop D
Down|311|E Standard|E Standard|E Standard
I Ran (So Far Away)|A Flock of Seagulls|E Standard|E Standard|E Standard
Self-Destruct|Aching Head|E Standard|E Standard|E Standard
Shinsekai|ACIDMAN|E Standard|E Standard|E Standard
Legendary Child|Aerosmith|E Standard|E Standard|E Standard
